挑戰標題,企業名稱,企業官網,社群網址,企業介紹,命題說明,挑戰連結
自行車與城市永續發展,龍承精密股份有限公司,https://www.dragontech-group.com/index.aspx,,創始人陳六先生於1965年在彰化花壇創立六哥公司，專注於縫紉機和運動器材等金屬零件的生產製造。隨著台灣經濟的成長和市場需求的變化，六哥公司不斷致力於金屬成型、材料研究與加工技術的研發，產品範圍擴展至自行車、汽機及消費性產品等相關產業。2008年，六哥集團成立龍承精密股份有限公司（Dragontech），延續過去卓越的技術研發經驗，透過集團資源整合，進一步提升各項製程的開發與生產能力，建立了在金屬及其他材料製造方面的優勢與價值。,"命題說明：

應用生成式AI模擬未來城市中不同情境下的自行車使用，分析其影響並提出改善城市交通與生活品質的創新設計方案。應用生成式AI進行未來城市的自行車之概念設計：利用生成式AI模擬不同城市環境下自行車的使用情境，參賽者分析未來城市的自行車使用情景，進而提出改善城市交通、提升生活品質的解決方案。概念設計方向可依不同的情境，模擬政策、人口結構或基礎設施改變對自行車使用的影響。",https://sustainabilityhackathon-tw.org/%e8%87%aa%e8%a1%8c%e8%bb%8a%e8%88%87%e5%9f%8e%e5%b8%82%e6%b0%b8%e7%ba%8c%e7%99%bc%e5%b1%95/
低碳行為平台暨AI智慧回收機策略,和全豐光電股份有限公司,https://www.buenopartners.com.tw,https://www.facebook.com/recyclepunkapp/,和全豐光電自秉承產業創新計畫的核心理念，運用專業光學技術能量，開發全球首創的環保科技智慧回收機，徹底改變社會對垃圾處理的方式。憑藉在光學領域的專業知識打造了一套先進的[智慧回收系統，體現了對循環經濟的可持續發展和社會責任的重視。,"命題說明：

一、發想方向：

1. 從使用者的角度出發以人為本的體驗設計強化環保行為，藉由大數據分析使用者，提出人機互動機制包含使用者經驗使用者介面，考慮使用者的目標、需求和期望，規劃完整的人機互動體驗。2. 「 願意放置設備，提供服務的場地單位 」、「 支持設備運作的經營單位 」、「 賦有環保意識且行動力高的使用者 」，提出三方可持續且共贏的基礎設施經營模式。 3. 以循環經濟理念為核心，運用創新思維開發商品，考量資源有效利用和再生，以回收機允收材質為基礎提出再生產品的設計。",https://sustainabilityhackathon-tw.org/%e4%bd%8e%e7%a2%b3%e8%a1%8c%e7%82%ba%e5%b9%b3%e5%8f%b0%e6%9a%a8ai%e6%99%ba%e6%85%a7%e5%9b%9e%e6%94%b6%e6%a9%9f%e7%ad%96%e7%95%a5/
創新騎行,PRAXIS USA Santa Curz CA.,https://praxiscycles.com/,https://www.instagram.com/praxisworks,2007年，知名自行車產業資深工程師David Earle創立了一家與眾不同的自行車零件公司-Praxis。在Praxis，我們優先考慮性能、品質和價值。我們致力於開發能有效將騎乘者力量傳遞到地面的自行車零件，透過創新、支援和推廣產品及技術來提升騎乘體驗和精神，為客戶提供高價值的產品。這些產品以業界領先的標準設計，並採用最先進的技術製造。,"命題說明：

1. 設計結合最新科技與永續理念的騎乘方案。2. 本次命題鼓勵參賽者探索如何通過創新手段提升騎行體驗，同時推動環保和可持續發展。3. 參賽者可從智慧自行車、環保材料、能源效率提升、數據驅動的騎乘體驗設計等方面入手，如設計具備智能功能的自行車、使用可再生材料製作自行車及其配件、創新能源效率高的騎行設備、利用大數據和物聯網技術設計個性化騎行方案等，提升騎行的便利性、安全性和效率，減少對環境的影響，推動資源的可持續利用。4.本次設計競賽旨在激發創新思維，展示技術與環保理念結合的無限可能性，為未來的騎行生活提供可行且具有前瞻性的解決方案。",https://sustainabilityhackathon-tw.org/%e5%89%b5%e6%96%b0%e9%a8%8e%e8%a1%8c/
創新樂齡宅,奇美開發建設股份有限公司,https://www.gf320.com.tw/,,「以建築修練品味，研一種生活的態度。」,"命題說明：

（一）前言：隨著台灣老年人口急速增加，適合銀髮族群友善居住空間的開發，已刻不容緩。尤在政府推動社福長照3.0政策下，銀髮產業的安養、健康促進已成為潮流趨勢，而建築業、醫療院所等民間力量也紛紛合盟，朝樂齡生活居家、銀髮產業的市場積極佈建，一條龍式的服務網，展開了新時代樂齡生活模式。在這樣的背景下，我們面臨著對樂齡住宅生活服務的新挑戰。如何展現樂齡社區經營管理的競爭優勢，帶動老年健康福祉的生活提升，讓老年的第三人生規劃能更尊嚴展現，同時減輕子女的照顧負擔，更能促進融和家庭與社會的幸福指數。

（二）目的：本次競賽旨在促進樂齡宅生活的創新思維，結合人工智慧技術與空間設計，為高齡者提供更智慧、便利且舒適的居住環境。我們鼓勵參賽者提出具有前瞻性和可持續性的企劃書，結合物聯網、智慧科技等先進技術，以解決樂齡人士居住生活中各種需求的滿足。參賽者需提出具體而創新的樂齡宅企劃，設計最佳社區公設空間及相關設施，包括健康管理中心、社交活動場域、健康活動生活設施等，並融入最新的AI智慧科技，以提高生活品質、健康安全照顧、促進社交連結及健康和預防醫學、在宅醫療導護。

（三）期望：透過這個競賽，我們期望激發參賽者的創造力和想像力，推動智慧科技在樂齡宅生活中的應用，為建立更加人性化、智慧化的樂齡住宅，貢獻新思維和有效執行方案。我們期待看到創新的概念、實用的解決方案以及對於樂齡住宅的貢獻，並啟發更多對樂齡宅生活有興趣的人參與其中，共同打造最佳智慧、健康、幸福的樂齡生活居住型態。

（四）結語：1. 本次命題主題為：創新樂齡宅-融合 AI 智慧化健康生活管理與公設空間設計規劃。2. 本次提案之創新樂齡宅形式為只租不售，目標對象是60歲以上高齡者。3. 在本次競賽中，樂齡宅指的是專為高齡者設計的住宅，它不僅僅是居住的場所，更是一個整合了高級健康管理、生活照護和社交支持的綜合性環境。創新指的是利用最新的科技和設計理念，提出前瞻性和可持續性的樂齡住宅解決方案。我們期望參賽者能夠突破傳統思維，結合人工智慧、物聯網等先進技術，創造出能夠真正提升高齡者生活品質的居住環境。",https://sustainabilityhackathon-tw.org/%e5%89%b5%e6%96%b0%e6%a8%82%e9%bd%a1%e5%ae%85/
半導體製程微感測裝置,微程式資訊 Microprogram,https://www.program.com.tw/,https://www.facebook.com/microprogram,微程式，一起成就更好的事。微程式資訊 Microprogram（7721） 為具備跨產業技術整合能力的資通訊設計服務提供商 （ICT Design House），從產業需求分析、服務設計、解決方案規劃到進入軟硬體之設計開發，提供垂直式整合服務，用智慧科技協助交通、金融、零售、半導體製造、自行車等產業創新升級。目前發展三大核心為「電子支付（智慧支付）」、「智慧單車」與「半導體感測控制（智慧製造）」之物聯網（IoT）創新升級服務發展，以「產業科技服務的長期投資夥伴」之定位提供國內外各產業數位化解決方案，是產業轉型升級的最佳夥伴。,"命題說明：

（一）前言：環境品質文教基金會秘書長劉銘龍說，過去的污染來自於可見的煙囪，但是現在的危機卻是看不見的，社會大眾不得不更加小心而對目前集「三千寵愛於一身」的半導體廠商特別挑剔。台灣環境保護聯盟執行委員施信民認為，半導體業一旦造成傷害，污染情況不會比傳統石化業或紡織業低。雖然現況已做了很多回收或燒毁處理，但依墨菲定律，仍會發生不可預期狀況導致未處理就流出或排放。

（二）目的：本次我們提出的命題，希望同學透過永續智慧創新的思維，打造綠能、低碳、低汙染、可再生、永續、環境友善的微感測裝置，目的是實時監測感測目標，減少感測目標對環境造成的影響。

（三）期望：如何透過微感測裝置減少半導體製程對環境造成的傷害？思考方向包含但不限於以下列舉：➢ 水資源消耗：半導體製造過程中需要大量的水來清洗晶圓，這會造成水資源的過度使用。➢ 化學物質排放：製程中使用了大量的化學品，如光刻膠、刻蝕液和清洗劑等，這些化學品如果處理不當，可能會對環境造成污染。➢ 能源消耗：半導體製造需要高度精密的設備和潔淨室，這些設施的運營需要大量的電力，增加了碳排放。➢ 廢氣排放：在製造過程中會產生各種有害氣體，如硫化物、氟化物等，這些氣體如果未經適當處理排放到大氣中，會對空氣造成影響。➢ 廢水排放：在製造過程中含氟或其他化學品的廢水，如果未經適當處理就排放，會對水質造成影響。➢ 濾/耗材過度使用：濾/耗材是否真的受汙染或不堪使用，再進行更換，而非以時間點(平均壽命)作為判斷。",https://sustainabilityhackathon-tw.org/%e5%8d%8a%e5%b0%8e%e9%ab%94%e8%a3%bd%e7%a8%8b%e5%be%ae%e6%84%9f%e6%b8%ac%e8%a3%9d%e7%bd%ae/
ESG永續議題遊戲,三知餘文化有限公司,https://3zhiyu.weebly.com/,,三知餘文化期盼透過遊戲，優化教育與文化推廣活動的閱聽人體驗，讓抽象、遙遠甚至繁雜的歷史問題、社會議題變的切身、好理解。遊戲產品除作娛樂之用，亦將作為教材投入於教育現場，除對學生、親子族群與文史愛好者起到長遠的良善影響，更建立與教育工作者的長期合作，一同推展素養教育品質。,"命題說明：

永續似乎是現在的顯學，講ESG、CSR、SDGs蔚為風潮但卻又複雜難解。永續其實並不是節能、減碳、環保、綠電、愛地球這麼單純。設計人類學家Tony Fry給我們的提示：「永續（sustain-ability）其實就是持續的能力（the ability to sustain）」，一種對於人類永續生存的困境當中，基於非二元哲學觀的實踐能力。

三知餘文化邀請年輕的跨領域團隊，透過遊戲來讓企業和一般大眾，淺顯易懂地透過故事和互動體驗，來認識ESG永續的理念並引導產生有效的行動，提出的遊戲不限於電玩、桌遊、實境遊戲、虛實混合等類型，提案過程鼓勵使用生成式AI來輔助跨域對話和創意成形。",https://sustainabilityhackathon-tw.org/esg%e6%b0%b8%e7%ba%8c%e8%ad%b0%e9%a1%8c%e9%81%8a%e6%88%b2/
透過 AI 運用，提升品牌形象及知名度,溫德姆酒店集團,https://wyndhamsunmoonlake.com/,https://www.facebook.com/WyndhamSunmoonlake/?locale=ka_GE,日月潭力麗溫德姆溫泉酒店為力麗集團投資興建的國際品牌酒店，由世界知名的酒店管理集團—美國溫德姆集團(管理)特許經營。酒店座落於台灣第一大天然湖泊-日月潭畔，地處依山傍水、群巒疊翠、潭景霧薄如紗的國家風景區中，我們傾力提供的舒心服務，讓賓客均能感受到，國際又在地，共榮共好的驚豔之旅！,"命題說明：

（一）前言：AI 可運用於行銷策略形成及推展的不同階段，最終達到提升品牌形象及知名度的效果：可以藉由 AI 分析消費者的數據，了解他們的興趣、偏好和行為，從而提供個性化的行銷內容。例如，根據消費者的背景資訊或瀏覽行為，AI 能自動生成專屬的產品推薦或促銷信息，提升消費者的滿意度與品牌忠誠度。也能藉由 AI 技術（如虛擬實境 VR），為消費者提供更豐富的瀏覽及入住體驗，增強品牌的吸引力和記憶點，增加回訪意願。

（二）期望：AI 可能的應用還包含以下，大家可以再依主軸自行發想，或從中挑選一兩個項目來提案：

1. 品牌一致性與形象維護監控網絡上的品牌訊息，及時發現並處理潛在的負面內容，確保品牌形象的一致性和正面性。

2. 個性化行銷生成專屬的產品推薦或促銷信息，提升消費者的滿意度與品牌忠誠度。

3. 行銷內容的創作與優化AI 能快速生成高質量的行銷內容，如文案、圖像、影片等，還能根據閱聽眾的回饋，優化內容的表達方式。

4. 社群媒體管理即時分析社群媒體上的趨勢和消費者的反饋，快速做出應對措施。

5. 聊天機器人與客戶互動AI 聊天機器人能全時即時地回應消費者的問題，提供優質的客戶服務，提升消費者對品牌的滿意度。

6. 大數據分析藉由大數據分析，幫助品牌了解市場趨勢、競爭對手動態及消費者需求，這些洞察可以用來制定更有效的行銷策略，精準定位市場，提升知名度。

7. 創新的用戶體驗AI 技術如虛擬實境（VR）和擴增實境（AR），能為消費者提供身臨其境的品牌體驗，增強記憶點。",https://sustainabilityhackathon-tw.org/%e9%80%8f%e9%81%8e-ai-%e9%81%8b%e7%94%a8%ef%bc%8c%e6%8f%90%e5%8d%87%e5%93%81%e7%89%8c%e5%bd%a2%e8%b1%a1%e5%8f%8a%e7%9f%a5%e5%90%8d%e5%ba%a6/
智慧化減法照顧,錸工場日間照顧中心,https://www.ricare.global/,https://zh-cn.facebook.com/ricaredayservice/photos/,錸德集團於1999 年 921 大地震之後，透過整合集團與社會資源設立「財團法人錸德文教基金會」進行照顧弱勢族群並關懷偏遠地區學童福祉；有感員工及家屬因照顧負荷及長照需求，於2016年成立【錸工場股份有限公司】，楊慰芬董事長希望能尊重長輩並且不剝奪長輩自理能力的照顧，前往日本夢之湖學習「減法照顧」，並於華亞科技園區成立第一家日間照顧中心，集團發展至今，服務範圍為新北市、桃園市、新竹縣市共6家日照中心，進而開發日間照顧智能系統，優化照顧人力，2020年底併購日本株式會社博優，運用日本資源深化台灣服務。,"命題說明：

（一）前言：<<錸工場 人生現役養成道場>>錸工場推行「減法照顧」以人為本理念，服務對象可以自主安排自己的一天，透過選課達到健康促進、社交參與、認知訓練及生活復能，藉由自己選擇、安排，服務對象可以藉由嘗試不同的活動，找到自己的興趣，增加生活動力。服務對象在失能後常常會有自信低落等心理狀況，經由操作「健康多力姆」(職能治療小遊戲)，服務對象可以賺取「夢幣」，有了夢幣之後，服務對象可以用以喝咖啡、參加各項教室、接受按摩等，錸工場舉辦夢幣市集，服務對象以夢幣購買禮物送給家人表達一年來的感謝並增加成就感。

日照不僅是生活照顧，更需要有預防延緩失能，跨專業由物理治療師或職能治療師擬定專業的運動處方，為有效評價效益，錸工場內的運動設備結合藍芽，將運動數據傳輸至系統，可作為運動處方成效評值，透過螢幕即時顯示鼓勵服務對象運動。 透過錸工場的智慧創新服務模式，每位長輩都可以找到適合自己的生活步調與生活動力，達到人生永遠現役的動力。錸工場以服務使用者、服務提供者需求及衛福部支審核銷系統開發一套智慧科技系統，並透過整合微物聯網、電子化服務對象量表、活動紀錄及量測評估可視化圖表、家屬聯繫APP及權限控管，達到資訊及數據儲存、管理、分析及個資保護。

（二）期望：本次企業命題提案將著重於如何連結「減法照顧」與「智慧照顧」的創新智慧照護模式。科技始終來自於人性，科技是為了使用需求而存在，如何結合不斷滾動的長照政策、提升照顧品質與優化友善介面，才是照顧發展科技的核心。",https://sustainabilityhackathon-tw.org/%e6%99%ba%e6%85%a7%e5%8c%96%e6%b8%9b%e6%b3%95%e7%85%a7%e9%a1%a7/
打造AI高齡友善藥局,大樹醫藥股份有限公司,https://www.greattree.com.tw/,https://www.facebook.com/www.greattree.com.tw,大樹是第一台灣股票上市櫃連鎖藥局，有別於傳統藥局，發展跨產業、跨領域、跨海外三跨全方位經營模式，跨足醫藥、寵物，更與日本 Sugi 、大陸漱玉藥局合作，事業版圖多元化，勇敢創新，不斷成長。 大樹人秉持 真誠、專業、共享 的大樹精神，用誠信的態度、專業的知識、與夥伴共享的精神一直不斷地前進，我們不但重視專業，更重視團隊，我們有完善的新人及在職訓練、完善的員工福利，在大樹不只是就業，更是實現自我的最棒的環境。,"命題說明：

（一）前言：隨著超高齡社會的到來及AI科技的迅速發展，銀髮族的健康已成為一個極為重要的議題。藥局是許多銀髮族頻繁造訪的場所，因此，本次命題探討如何結合AI技術，打造適合銀髮族的藥局場域，以提升藥局的專業價值和服務的親近性。

（二）期望：針對銀髮族在藥局中的智慧化AI應用，建議從以下五個面向進行規劃，並說明AI技術如何置入其中：

1. 用藥管理：AI可以協助老年人管理藥物使用，通過智能提醒系統告知服藥時間，並提醒可能的藥物間相互作用。

2. 健康監測：結合穿戴設備，AI可計算和管理健康數據，如心率、血壓等，並在異常狀況發生時及時提醒使用者注意。

3. 諮詢服務：AI搭配客服系統，可以提供虛擬藥師服務，解答關於藥物使用及健康問題，並提供相關建議。

4. 個性化推薦：根據老年人的健康歷史和需求，藥師結合AI技術可以推薦適合的健康產品和藥物，並提供相關的衛教資源。

5. 智慧化服務：如針對慢性病患者的處方藥預約取藥系統，可以讓他們更便捷地取得所需藥物，並避免長時間排隊。 通過以上面向結合AI技術的應用，不僅能提高銀髮族的用藥安全，還能幫助他們維持健康體態，進而提升整體生活品質。",https://sustainabilityhackathon-tw.org/%e6%89%93%e9%80%a0ai%e9%ab%98%e9%bd%a1%e5%8f%8b%e5%96%84%e8%97%a5%e5%b1%80/
人之初電商市場行銷,嘉新企業團,https://www.chcgroup.com.tw/,https://www.facebook.com/profile.php?id=100063882524535,嘉新水泥(股)公司創立於1954年並於1969年掛牌上市。秉持著「以人為本」的核心精神，起初以水泥為主要業務。隨著市場變化和需求改變，逐步發展成為一個跨足多元領域的企業團，涵蓋水泥、倉儲、資產管理、旅宿服務和健康照護等。2016年，企業團成立旗下子公司嘉和健康生活(股)公司，以打造全新格局的樂活世代為基準出發，根據不同年齡層的『健康』需求，從出生到年老、飲食到運動，追求卓越產品與服務。嘉和旗下的人之初產後護理之家，致力給予媽媽及寶寶最貼心的照護。 期望打破傳統坐月子的觀念，中山館成為了業界第一個由5星級飯店經營團隊帶領的機構。嘉新企業團致力為社會築起健康與永續發展的未來，期盼讓每個人在各個階段都能自在地追求高品質生活。,"命題說明：

（一）前言：現今數位化時代，電商行銷已成為商業成功的關鍵，快速成長的電子商務零售市場，讓電商競爭日趨白熱化；然而，面對資訊過載和品質參差不齊的挑戰，如何增加網站流量並提升品牌知名度，成為了當前最關鍵的課題。人之初產後護理之家秉持提供優質服務與選品之信念， 本次邀請參賽者以市場分析為基礎，從買方角度出發、發揮創意，提出強化品牌形象與行銷之策略，讓「人之初嚴選購物平台」在電商紅海脫穎而出，形塑高品質life style，提供良好的消費體驗。

（二）目標：參賽者透過對人之初產後護理之家的定位，進行市場分析，提出實際可執行強化品牌形象與行銷之策略，讓「人之初嚴選購物平台」在電商紅海脫穎而出，形塑高品質life style，提供良好的消費體驗。

1. 消費者行為分析：了解母嬰/life style產品的消費趨勢和痛點，並提出提升消費者體驗的具體建議。

2. 競爭對手分析：分析市場上現有競爭者的優勢和不足，並為人之初產後護理之家提出差異化策略。

3. 市場趨勢分析：透過數據研究未來健康產業的發展趨勢，幫助人之初產後護理之家預測消費需求並掌握市場先機。",https://sustainabilityhackathon-tw.org/%e4%ba%ba%e4%b9%8b%e5%88%9d%e9%9b%bb%e5%95%86%e5%b8%82%e5%a0%b4%e8%a1%8c%e9%8a%b7/
